
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 17.95/18.03/18.27 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2588 cy/pump 37.12 Mcy/s 1547 cy/sample | pump worst 181.20 us peak 244.85 us | AHASH s=1416000 c4e6d69f | last_us prep=880 wait=2681 field=0 mesh=5095 other=9297 texels=33910
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 17.88/17.92/18.11 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2785 cy/pump 39.94 Mcy/s 1663 cy/sample | pump worst 195.21 us peak 244.85 us | AHASH s=1440000 e033e03e | last_us prep=888 wait=2687 field=0 mesh=5052 other=9291 texels=32812
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 17.92/17.96/18.08 | fps 29.8 | tri 1147 | fill 624 win 988 under 0 | synth 2732 cy/pump 39.17 Mcy/s 1632 cy/sample | pump worst 187.37 us peak 244.85 us | AHASH s=1464000 8511090b | last_us prep=884 wait=2683 field=0 mesh=5151 other=9293 texels=33065
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 18.02/18.13/18.23 | fps 29.8 | tri 1150 | fill 624 win 988 under 0 | synth 2794 cy/pump 40.06 Mcy/s 1669 cy/sample | pump worst 204.70 us peak 244.85 us | AHASH s=1488000 cd59b295 | last_us prep=883 wait=2679 field=0 mesh=5371 other=9291 texels=35300
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 18.26/18.41/18.54 | fps 29.8 | tri 1149 | fill 624 win 988 under 0 | synth 2760 cy/pump 39.59 Mcy/s 1648 cy/sample | pump worst 187.70 us peak 244.85 us | AHASH s=1512000 b5cecce8 | last_us prep=873 wait=2682 field=0 mesh=5687 other=9294 texels=39132
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 18.55/18.66/18.76 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2738 cy/pump 39.26 Mcy/s 1636 cy/sample | pump worst 199.29 us peak 244.85 us | AHASH s=1536000 acaee972 | last_us prep=878 wait=2692 field=0 mesh=5892 other=9252 texels=42176
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 18.69/18.75/18.87 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2751 cy/pump 39.46 Mcy/s 1643 cy/sample | pump worst 182.90 us peak 244.85 us | AHASH s=1560000 f2d1a175 | last_us prep=885 wait=2664 field=0 mesh=5953 other=9230 texels=43556
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 18.69/18.73/18.88 | fps 29.8 | tri 1152 | fill 624 win 987 under 0 | synth 2689 cy/pump 38.56 Mcy/s 1607 cy/sample | pump worst 201.20 us peak 244.85 us | AHASH s=1584000 f4b464e5 | last_us prep=883 wait=2682 field=0 mesh=5904 other=9230 texels=43480
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 18.55/18.66/18.88 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2795 cy/pump 40.08 Mcy/s 1670 cy/sample | pump worst 186.16 us peak 244.85 us | AHASH s=1608000 ab894df0 | last_us prep=880 wait=2679 field=0 mesh=5748 other=9241 texels=41044
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 18.37/18.48/18.71 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2803 cy/pump 40.20 Mcy/s 1675 cy/sample | pump worst 220.32 us peak 244.85 us | AHASH s=1632000 5c19c873 | last_us prep=879 wait=2685 field=0 mesh=5544 other=9262 texels=36498
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 18.24/18.31/18.56 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2804 cy/pump 40.21 Mcy/s 1675 cy/sample | pump worst 191.01 us peak 244.85 us | AHASH s=1656000 dd19872a | last_us prep=875 wait=2693 field=0 mesh=5391 other=9287 texels=33094
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 18.21/18.24/18.40 | fps 29.8 | tri 1152 | fill 624 win 988 under 0 | synth 2768 cy/pump 39.70 Mcy/s 1654 cy/sample | pump worst 215.22 us peak 244.85 us | AHASH s=1680000 c39ec861 | last_us prep=881 wait=2687 field=0 mesh=5336 other=9304 texels=31676
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 18.22/18.26/18.41 | fps 29.8 | tri 1150 | fill 624 win 988 under 0 | synth 2862 cy/pump 41.04 Mcy/s 1709 cy/sample | pump worst 188.40 us peak 244.85 us | AHASH s=1704000 e943efc1 | last_us prep=881 wait=2684 field=0 mesh=5414 other=9301 texels=32472
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 18.28/18.33/18.45 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2891 cy/pump 41.47 Mcy/s 1727 cy/sample | pump worst 201.65 us peak 244.85 us | AHASH s=1728000 ca78b6dc | last_us prep=874 wait=2695 field=0 mesh=5509 other=9295 texels=34468
T t=73.2 bar=36 sec=2 dma=1 interp=1 | render ms 18.38/18.47/18.57 | fps 29.8 | tri 1150 | fill 624 win 988 under 0 | synth 2749 cy/pump 39.42 Mcy/s 1643 cy/sample | pump worst 185.85 us peak 244.85 us | AHASH s=1752000 ceb4cb9f | last_us prep=877 wait=2705 field=0 mesh=5702 other=9277 texels=37798
T t=74.2 bar=37 sec=2 dma=1 interp=1 | render ms 18.57/18.66/18.74 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2886 cy/pump 41.39 Mcy/s 1725 cy/sample | pump worst 209.82 us peak 244.85 us | AHASH s=1776000 e6bb9f2c | last_us prep=876 wait=2688 field=0 mesh=5914 other=9261 texels=41184
T t=75.2 bar=37 sec=2 dma=1 interp=1 | render ms 18.74/18.81/18.93 | fps 29.8 | tri 1148 | fill 624 win 988 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1712 cy/sample | pump worst 189.49 us peak 244.85 us | AHASH s=1800000 f5f7e452 | last_us prep=880 wait=2692 field=0 mesh=6010 other=9230 texels=43618
T t=76.2 bar=38 sec=2 dma=1 interp=1 | render ms 18.67/18.76/18.99 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2908 cy/pump 41.71 Mcy/s 1738 cy/sample | pump worst 224.49 us peak 244.85 us | AHASH s=1824000 024df89c | last_us prep=879 wait=2684 field=0 mesh=5882 other=9228 texels=43306
T t=77.3 bar=38 sec=2 dma=1 interp=1 | render ms 18.54/18.61/18.85 | fps 29.8 | tri 1151 | fill 624 win 988 under 0 | synth 2865 cy/pump 41.08 Mcy/s 1712 cy/sample | pump worst 188.75 us peak 244.85 us | AHASH s=1848000 4f0f0698 | last_us prep=875 wait=2711 field=0 mesh=5728 other=9250 texels=41718
