
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 20.45/20.53/20.64 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2906 cy/pump 41.67 Mcy/s 1736 cy/sample | pump worst 215.40 us peak 230.21 us | AHASH s=1488000 cd59b295 | last_us prep=6043 wait=2 field=0 mesh=5234 other=9354 texels=35360
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 20.64/20.80/20.93 | fps 29.8 | tri 1149 | fill 623 win 988 under 0 | synth 2874 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 212.37 us peak 230.21 us | AHASH s=1512000 b5cecce8 | last_us prep=6043 wait=1 field=0 mesh=5540 other=9348 texels=39200
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 20.93/21.05/21.13 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2860 cy/pump 41.01 Mcy/s 1709 cy/sample | pump worst 200.87 us peak 230.21 us | AHASH s=1536000 acaee972 | last_us prep=6072 wait=2 field=0 mesh=5735 other=9317 texels=42198
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 21.09/21.15/21.27 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2871 cy/pump 41.17 Mcy/s 1715 cy/sample | pump worst 212.62 us peak 230.21 us | AHASH s=1560000 f2d1a175 | last_us prep=6023 wait=1 field=0 mesh=5796 other=9301 texels=43578
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 21.08/21.12/21.30 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2798 cy/pump 40.12 Mcy/s 1672 cy/sample | pump worst 198.39 us peak 230.21 us | AHASH s=1584000 f4b464e5 | last_us prep=6102 wait=2 field=0 mesh=5738 other=9294 texels=43448
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 20.95/21.06/21.24 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2914 cy/pump 41.79 Mcy/s 1741 cy/sample | pump worst 248.60 us peak 248.60 us | AHASH s=1608000 ab894df0 | last_us prep=6041 wait=2 field=0 mesh=5592 other=9312 texels=40952
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.76/20.88/21.10 | fps 29.8 | tri 1148 | fill 623 win 988 under 0 | synth 2920 cy/pump 41.88 Mcy/s 1745 cy/sample | pump worst 204.42 us peak 248.60 us | AHASH s=1632000 5c19c873 | last_us prep=6104 wait=2 field=0 mesh=5388 other=9331 texels=36442
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.63/20.72/20.94 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2916 cy/pump 41.81 Mcy/s 1742 cy/sample | pump worst 233.31 us peak 248.60 us | AHASH s=1656000 dd19872a | last_us prep=6036 wait=1 field=0 mesh=5249 other=9360 texels=33036
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.59/20.66/20.81 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2891 cy/pump 41.46 Mcy/s 1726 cy/sample | pump worst 232.80 us peak 248.60 us | AHASH s=1680000 c39ec861 | last_us prep=6033 wait=2 field=0 mesh=5197 other=9374 texels=31660
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.60/20.66/20.73 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2974 cy/pump 42.65 Mcy/s 1777 cy/sample | pump worst 230.63 us peak 248.60 us | AHASH s=1704000 e943efc1 | last_us prep=6038 wait=1 field=0 mesh=5273 other=9381 texels=32498
