
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=63.2 bar=32 ph=5 the hand | render ms 47.73/47.77/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1512000 8a2532e6
T t=64.2 bar=33 ph=5 the hand | render ms 47.73/47.78/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.76 Mcy/s | synth 2947 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1536000 106f9ee9
T t=65.2 bar=33 ph=5 the hand | render ms 47.72/47.78/47.92 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1560000 6056688e
T t=66.2 bar=34 ph=5 the hand | render ms 47.73/47.77/47.93 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.27 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1584000 ff52ffe2
T t=67.2 bar=35 ph=5 the hand | render ms 47.73/47.79/47.93 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2353 cy/line 33.75 Mcy/s | synth 2950 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1608000 83f990b5
T t=68.2 bar=35 ph=5 the hand | render ms 47.70/47.75/47.90 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.76 Mcy/s | synth 2948 cy/pump 42.28 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1632000 1317fced
T t=69.2 bar=36 ph=5 the hand | render ms 47.71/47.76/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2950 cy/pump 42.30 Mcy/s 1762 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1656000 3cb02279
T t=70.2 bar=36 ph=5 the hand | render ms 47.73/47.77/47.91 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.28 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1680000 80101a1c
T t=71.2 bar=37 ph=5 the hand | render ms 47.74/47.77/47.93 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1704000 3b94f7bc
T t=72.2 bar=37 ph=5 the hand | render ms 47.71/47.76/47.90 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2948 cy/pump 42.28 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1728000 4db2e8f2
T t=73.2 bar=38 ph=5 the hand | render ms 47.73/47.76/47.89 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 466 | copy 2354 cy/line 33.75 Mcy/s | synth 2947 cy/pump 42.26 Mcy/s 1761 cy/sample | tri 1500 px 90000 part 256 ch 2 | AHASH s=1752000 d6d05b06
